t_utc,elapsed_s,tenants,cg_mem_mb,cg_mem_max_mb,cg_mem_pct,cg_oom_kills,cg_swap_mb,load1,cpu_pct,runq,cg_cpu_s,cg_throttled_s,tx_mbps,rx_mbps,sendq_kb,sendq_max_kb,estab_conns,threads,pids,cg_pids_max,peer_load1,peer_cpu_pct,peer_mem_avail_mb,host_avail_mb,host_swap_mb,tcp_retrans_d,tcp_outsegs_d
2026-09-10T23:24:31Z,5,0,301.3,4096,7.4,0,0.0,0.17,0.3,1,4.5,0.0,0.07,0.06,0,0,0,70,70,33988,0.06,,105990,28477,0,0,147
2026-09-10T23:24:37Z,10,0,471.6,4096,11.5,0,0.0,0.31,2.9,1,9.3,0.0,16.00,0.09,0,0,7,165,165,33988,0.05,,106886,28314,0,0,7286
2026-09-10T23:24:42Z,15,0,474.3,4096,11.6,0,0.0,0.29,0.5,1,9.9,0.0,0.86,0.04,0,0,7,170,170,33988,0.13,,106891,28308,0,0,448
2026-09-10T23:24:47Z,21,0,477.6,4096,11.7,0,0.0,0.27,0.6,1,10.7,0.0,1.14,0.06,0,0,7,187,187,33988,0.12,,106832,28300,0,0,605
2026-09-10T23:24:52Z,26,0,480.0,4096,11.7,0,0.0,0.24,0.5,1,11.3,0.0,0.88,0.03,0,0,7,198,198,33988,0.11,,106796,28305,0,0,449
2026-09-10T23:24:57Z,31,1,612.2,4096,14.9,0,0.0,0.22,3.0,1,15.7,0.0,17.17,0.13,0,0,14,257,257,33988,0.10,,106437,28156,0,0,7920
2026-09-10T23:25:03Z,36,1,625.6,4096,15.3,0,0.0,0.21,0.8,1,17.0,0.0,2.17,0.07,0,0,14,263,263,33988,0.09,,106339,28148,0,0,1081
2026-09-10T23:25:08Z,42,1,627.9,4096,15.3,0,0.0,0.19,0.9,1,18.2,0.0,1.87,0.09,0,0,14,273,273,33988,0.08,,106229,28131,0,0,991
2026-09-10T23:25:13Z,47,1,629.2,4096,15.4,0,0.0,0.17,0.7,1,19.3,0.0,2.27,0.07,0,0,14,272,273,33988,0.08,,106140,28138,0,0,1138
2026-09-10T23:25:18Z,52,2,782.2,4096,19.1,0,0.0,0.16,3.4,1,24.5,0.0,18.17,0.17,0,0,20,336,336,33988,0.07,,105716,27954,0,0,8404
2026-09-10T23:25:24Z,57,2,1010.4,4096,24.7,0,0.0,0.15,1.2,1,26.4,0.0,3.47,0.11,0,0,20,336,336,33988,0.06,,105565,27732,0,0,1786
2026-09-10T23:25:29Z,62,2,1027.0,4096,25.1,0,0.0,0.22,1.0,1,27.8,0.0,2.93,0.13,0,0,20,349,349,33988,0.06,,105446,27702,0,0,1510
2026-09-10T23:25:34Z,68,2,1035.4,4096,25.3,0,0.0,0.20,1.2,1,29.4,0.0,3.72,0.12,0,0,16,364,364,33988,0.05,,105332,27673,0,0,1871
2026-09-10T23:25:39Z,73,3,1092.0,4096,26.7,0,0.0,0.34,3.4,1,34.5,0.0,18.64,0.19,0,0,22,417,417,33988,0.61,,104882,27606,0,0,8621
2026-09-10T23:25:44Z,78,3,1093.3,4096,26.7,0,0.0,0.31,1.6,1,36.8,0.0,5.45,0.17,0,0,22,418,418,33988,0.60,,104710,27532,0,0,2708
2026-09-10T23:25:50Z,83,3,1096.6,4096,26.8,0,0.0,0.37,1.4,1,38.8,0.0,4.38,0.16,0,0,22,433,433,33988,0.71,,104509,27485,0,0,2202
2026-09-10T23:25:55Z,89,3,1097.9,4096,26.8,0,0.0,0.50,1.8,2,41.4,0.0,5.32,0.18,0,0,22,446,446,33988,0.73,,104339,27431,0,0,2688
2026-09-10T23:26:00Z,94,4,1140.9,4096,27.9,0,0.0,0.58,3.5,2,46.6,0.0,19.80,0.25,0,0,24,497,495,33988,0.67,,103968,27433,0,0,9305
2026-09-10T23:26:05Z,99,4,1142.2,4096,27.9,0,0.0,0.54,1.9,1,49.3,0.0,5.91,0.19,0,0,24,503,503,33988,0.62,,103757,27352,0,0,2964
2026-09-10T23:26:10Z,104,4,1145.0,4096,28.0,0,0.0,0.49,2.0,1,52.0,0.0,6.42,0.21,0,0,24,500,500,33988,0.57,,103541,27282,0,0,3209
2026-09-10T23:26:16Z,109,4,1145.9,4096,28.0,0,0.0,0.69,2.2,1,55.0,0.0,6.12,0.22,0,0,24,502,502,33988,0.52,,103391,27199,0,0,3064
2026-09-10T23:26:21Z,115,5,1167.8,4096,28.5,0,0.0,0.80,3.6,4,60.0,0.0,21.29,0.26,0,0,26,523,523,33988,0.56,,103056,27097,0,0,9911
2026-09-10T23:26:26Z,120,5,1224.9,4096,29.9,0,0.0,0.90,3.1,1,64.3,0.0,7.63,0.24,0,0,26,536,536,33988,0.60,,102812,26894,0,0,3801
2026-09-10T23:26:31Z,125,5,1227.0,4096,30.0,0,0.0,0.90,2.8,1,68.2,0.0,8.22,0.28,0,0,26,534,534,33988,0.79,,102609,26746,0,0,4118
2026-09-10T23:26:36Z,130,5,1227.3,4096,30.0,0,0.0,0.91,2.1,1,70.8,0.0,6.65,0.23,0,0,26,532,533,33988,1.05,,102495,26682,0,0,3357
2026-09-10T23:26:42Z,135,6,1243.2,4096,30.4,0,0.0,1.00,4.2,4,76.4,0.0,22.83,0.34,0,0,28,551,550,33988,0.96,,102178,26716,0,0,10879
2026-09-10T23:26:47Z,141,6,1300.3,4096,31.7,0,0.0,0.92,4.2,1,82.5,0.0,8.70,0.26,0,0,28,571,571,33988,0.89,,101952,26450,0,0,4321
2026-09-10T23:26:52Z,146,6,1300.9,4096,31.8,0,0.0,0.93,3.2,1,86.6,0.0,8.67,0.31,0,0,28,568,568,33988,0.98,,101808,25998,0,1,4313
2026-09-10T23:26:57Z,151,6,1301.3,4096,31.8,0,0.0,0.85,2.5,1,89.7,0.0,7.81,0.25,0,0,28,567,567,33988,0.98,,101669,25724,0,4,3941
2026-09-10T23:27:03Z,156,7,1315.4,4096,32.1,0,0.0,0.86,4.1,2,95.0,0.0,24.65,0.38,0,0,30,579,579,33988,0.90,,101290,25267,0,1,11581
2026-09-10T23:27:08Z,162,7,1429.1,4096,34.9,0,0.0,0.79,4.9,3,102.2,0.0,9.76,0.29,0,0,30,603,603,33988,0.91,,101046,24850,0,2,4829
2026-09-10T23:27:13Z,167,7,1430.6,4096,34.9,0,0.0,0.73,4.0,1,106.5,0.0,9.61,0.37,0,0,30,600,600,33988,1.00,,100964,26586,0,2,4985
2026-09-10T23:27:18Z,172,7,1431.3,4096,34.9,0,0.0,0.75,3.3,1,111.0,0.0,10.10,0.31,48,48,30,596,595,33988,1.32,,100804,26191,0,0,4995
2026-09-10T23:27:23Z,177,8,1436.2,4096,35.1,0,0.0,0.77,3.8,5,115.5,0.0,25.59,0.42,0,0,32,602,602,33988,1.45,,100402,25558,0,1,12102
2026-09-10T23:27:29Z,182,8,1528.6,4096,37.3,0,0.0,0.87,5.8,1,124.1,0.0,10.41,0.31,0,0,32,639,639,33988,1.33,,100144,24999,0,0,5154
2026-09-10T23:27:34Z,188,8,1529.0,4096,37.3,0,0.0,0.80,4.2,1,129.6,0.0,11.95,0.39,0,0,32,635,635,33988,1.55,,99943,24360,0,0,5929
2026-09-10T23:27:39Z,193,8,1530.4,4096,37.4,0,0.0,0.90,4.4,2,134.7,0.0,11.52,0.41,110,110,32,632,632,33988,1.50,,99902,26451,0,0,5926
2026-09-10T23:27:44Z,198,9,1530.8,4096,37.4,0,0.0,0.91,3.8,3,139.1,0.0,11.21,0.38,0,0,27,630,630,33988,1.38,,99613,25970,0,0,5580
2026-09-10T23:27:50Z,203,9,1679.9,4096,41.0,0,0.0,0.91,6.3,4,148.3,0.0,27.59,0.42,8,8,34,671,671,33988,1.76,,99324,25243,0,2,12977
2026-09-10T23:27:55Z,209,9,1682.0,4096,41.1,0,0.0,0.92,4.6,2,154.4,0.0,14.44,0.44,0,0,34,665,665,33988,1.62,,99096,24625,0,1,7166
2026-09-10T23:28:00Z,214,9,1683.1,4096,41.1,0,0.0,0.93,4.9,3,160.1,0.0,13.38,0.45,16,16,34,662,662,33988,2.05,,98993,26317,0,2,6796
2026-09-10T23:28:05Z,219,10,1682.9,4096,41.1,0,0.0,1.01,3.8,3,164.7,0.0,12.36,0.39,0,0,29,661,661,33988,1.89,,98903,25811,0,1,6148
2026-09-10T23:28:10Z,224,10,1811.7,4096,44.2,0,0.0,1.01,7.5,1,175.5,0.0,29.29,0.48,0,0,36,707,707,33988,1.73,,98435,25114,0,2,13819
2026-09-10T23:28:16Z,229,10,1814.9,4096,44.3,0,0.0,1.09,4.9,3,182.0,0.0,14.50,0.44,0,0,36,701,701,33988,1.84,,98227,24439,0,2,7164
