cycle,tenants,channel,tenant,t_utc,procs,heap_used_pre_mb,heap_live_mb,heap_committed_mb,meta_used_mb,meta_committed_mb,rss_mb,pss_mb,rss_postgc_mb,pss_postgc_mb,threads,fds,host_avail_mb,swap_used_mb,gc_ms,gc_passes,heap_settled
-1,1,sb,swing:uurad0,2026-09-11T08:07:48Z,1,162.2,,228.0,99.1,100.1,471.5,464.5,471.8,464.9,198,274,28930.3,0.0,0,0,
-1,2,sb,swing:4bnhn4,2026-09-11T08:08:10Z,1,248.6,,372.0,113.3,114.2,658.6,651.7,658.6,651.7,278,285,28701.5,0.0,0,0,
-1,3,sb,swing:gn1u0r,2026-09-11T08:08:31Z,1,247.0,,440.0,127.4,128.5,766.9,759.9,767.3,760.3,361,292,28535.3,0.0,0,0,
-1,4,sb,swing:z2wae7,2026-09-11T08:08:52Z,1,420.5,,514.0,141.6,142.7,880.1,873.1,880.0,873.1,457,299,28234.1,0.0,0,0,
-1,5,sb,swing:2qzlft,2026-09-11T08:09:13Z,1,383.7,,640.0,155.7,156.9,1042.3,1035.4,1042.3,1035.4,502,307,27828.0,0.0,0,0,
-1,6,sb,swing:ktyabn,2026-09-11T08:09:34Z,1,671.2,,718.0,169.9,171.1,1155.2,1148.3,1155.2,1148.3,534,313,27475.4,0.0,0,0,
-1,7,sb,swing:t496zf,2026-09-11T08:09:55Z,1,757.7,,838.0,184.0,185.3,1306.5,1299.5,1306.5,1299.5,566,320,25787.0,0.0,0,0,
-1,8,sb,swing:mkx7z1,2026-09-11T08:10:16Z,1,805.4,,938.0,198.1,199.4,1440.4,1433.4,1440.4,1433.4,600,327,27506.7,0.0,0,0,
-1,9,sb,swing:ry5z9h,2026-09-11T08:10:38Z,1,939.3,,1034.0,212.3,213.7,1563.4,1556.5,1563.4,1556.5,630,334,25237.9,0.0,0,0,
-1,10,sb,swing:3xjc54,2026-09-11T08:10:59Z,1,731.4,,1134.0,226.4,227.8,1691.7,1684.8,1692.2,1685.2,663,341,27170.0,0.0,0,0,
-1,11,sb,swing:b54uaq,2026-09-11T08:11:20Z,1,1110.4,,1218.0,240.5,242.1,1805.2,1798.3,1805.2,1798.3,699,348,24559.2,0.0,0,0,
-1,12,sb,swing:brbi55,2026-09-11T08:11:42Z,1,1110.5,,1298.0,254.7,256.2,1917.5,1910.6,1917.5,1910.6,730,355,26318.2,0.0,0,0,
-1,13,sb,swing:xxt3bg,2026-09-11T08:12:04Z,1,1095.7,,1394.0,268.8,270.4,2037.5,2030.5,2037.5,2030.5,769,362,24140.0,0.0,0,0,
-1,14,sb,swing:gxmv0o,2026-09-11T08:12:26Z,1,1122.1,,1500.0,282.9,284.6,2167.5,2160.5,2167.5,2160.5,800,369,24022.8,0.0,0,0,
-1,15,sb,swing:6nsdjf,2026-09-11T08:12:48Z,1,1017.9,,1590.0,297.0,298.8,2286.4,2279.4,2286.4,2279.5,830,376,25159.7,0.0,0,0,
-1,16,sb,swing:ttgsyd,2026-09-11T08:13:09Z,1,1499.7,,1698.0,311.2,312.9,2423.3,2416.4,2423.3,2416.4,870,383,25615.5,0.0,0,0,
-1,17,sb,swing:izio39,2026-09-11T08:13:31Z,1,1424.8,,1794.0,325.3,327.1,2545.6,2538.7,2545.6,2538.7,903,390,26097.5,0.0,0,0,
-1,18,sb,swing:eklm5y,2026-09-11T08:13:53Z,1,1543.8,,1894.0,339.4,341.2,2669.7,2662.8,2669.7,2662.8,935,397,26077.9,0.0,0,0,
-1,19,sb,swing:rsqo63,2026-09-11T08:14:16Z,1,1844.6,,1994.0,353.5,355.5,2794.3,2787.4,2794.4,2787.4,968,404,25802.8,0.0,0,0,
-1,20,sb,swing:xwbjb0,2026-09-11T08:14:38Z,1,1302.1,,2088.0,367.7,369.7,2912.3,2905.3,2912.3,2905.3,1001,411,25277.8,0.0,0,0,
-1,21,sb,swing:2v2fff,2026-09-11T08:14:59Z,1,1568.0,,2198.0,381.8,383.9,3045.3,3038.3,3045.3,3038.3,1035,418,24483.4,0.0,0,0,
-1,22,sb,swing:ty6y4u,2026-09-11T08:15:22Z,1,1534.2,,2284.0,395.9,398.2,3155.4,3148.4,3155.4,3148.4,1067,423,23456.2,0.0,0,0,
-1,23,sb,swing:4zak2m,2026-09-11T08:15:44Z,1,2062.0,,2380.0,410.0,412.3,3272.3,3265.4,3272.3,3265.4,1099,431,22878.7,0.0,0,0,
-1,24,sb,swing:8ehx2i,2026-09-11T08:16:07Z,1,2242.1,,2490.0,424.2,426.6,3404.0,3397.0,3404.0,3397.1,1131,439,24892.5,0.0,0,0,
-1,25,sb,swing:n2biv1,2026-09-11T08:16:30Z,1,2182.0,,2560.0,438.3,440.7,3494.6,3487.7,3494.6,3487.7,1164,446,22726.8,0.0,0,0,
-1,26,sb,swing:vxv80v,2026-09-11T08:16:53Z,1,2366.8,,2560.0,452.5,454.9,3515.5,3508.5,3515.5,3508.5,1196,453,24827.6,0.0,0,0,
-1,27,sb,swing:e75r4h,2026-09-11T08:17:17Z,1,1822.9,,2560.0,466.6,469.1,3535.0,3528.1,3535.1,3528.1,1227,460,22664.5,0.0,0,0,
-1,28,sb,swing:aj42kb,2026-09-11T08:17:42Z,1,2222.7,,2560.0,480.7,483.3,3554.2,3547.3,3554.2,3547.3,1261,467,22676.9,0.0,0,0,
-1,29,sb,swing:jpciyn,2026-09-11T08:18:07Z,1,2316.2,,2560.0,494.8,497.4,3573.0,3566.0,3573.0,3566.0,1294,474,23078.1,0.0,0,0,
-1,30,sb,swing:jstsff,2026-09-11T08:18:34Z,1,2352.7,,2560.0,509.0,511.7,3592.8,3585.8,3592.8,3585.9,1326,480,22688.3,0.0,0,0,
-1,31,sb,swing:0fhz9q,2026-09-11T08:19:00Z,1,1888.4,,2560.0,522.8,525.6,3612.7,3605.7,3612.7,3605.7,1359,488,22629.6,0.0,0,0,
-1,32,sb,swing:guf2bn,2026-09-11T08:19:29Z,1,2227.8,,2560.0,536.7,539.2,3631.4,3624.5,3631.4,3624.5,1391,495,24134.5,0.0,0,0,
-1,33,sb,swing:vvzoqn,2026-09-11T08:19:58Z,1,2342.7,,2560.0,550.6,552.9,3651.3,3644.3,3651.3,3644.3,1424,502,22593.6,0.0,0,0,
-1,34,sb,swing:o4f8se,2026-09-11T08:20:25Z,1,2203.4,,2560.0,564.5,566.8,3672.5,3665.6,3672.5,3665.6,1465,509,23892.4,0.0,0,0,
-1,35,sb,swing:9gd7xr,2026-09-11T08:20:53Z,1,2243.9,,2560.0,578.4,580.7,3691.8,3684.9,3691.8,3684.9,1499,514,24628.4,0.0,0,0,
-1,36,sb,swing:gg5wd0,2026-09-11T08:21:23Z,1,2349.5,,2560.0,592.2,594.6,3712.0,3705.0,3712.0,3705.0,1535,522,22550.8,0.0,0,0,
-1,37,sb,swing:7pqfy2,2026-09-11T08:21:54Z,1,2312.8,,2560.0,606.1,608.3,3731.4,3724.5,3731.4,3724.5,1567,529,22605.7,0.0,0,0,
-1,38,sb,swing:tfh2aj,2026-09-11T08:22:25Z,1,2315.5,,2560.0,620.0,622.2,3751.7,3744.7,3751.7,3744.7,1601,532,22550.0,0.0,0,0,
-1,39,sb,swing:j3tk87,2026-09-11T08:23:16Z,1,2441.5,,2560.0,633.9,636.0,3774.3,3767.4,3774.3,3767.4,1636,540,22507.4,0.0,0,0,
-1,40,sb,swing:4ggspw,2026-09-11T08:24:06Z,1,2347.6,,2560.0,647.6,649.5,3813.9,3806.9,3813.9,3806.9,1670,547,22705.0,0.0,0,0,
-1,41,sb,swing:qgi2h8,2026-09-11T08:24:49Z,1,2438.0,,2560.0,661.8,663.8,3834.3,3827.3,3834.3,3827.4,1706,554,22607.8,0.0,0,0,
-1,42,sb,swing:cnigyk,2026-09-11T08:26:32Z,1,2478.2,,2560.0,675.7,677.6,3936.6,3929.6,3937.2,3930.2,1740,557,22210.9,0.0,0,0,
-1,43,sb,swing:ii689s,2026-09-11T08:31:38Z,1,2470.2,,2560.0,689.9,691.9,3986.5,3979.5,3986.5,3979.6,1776,562,22427.4,0.0,0,0,
